FID,ck_rating_,created_datetime,dataset,geometry,hide,id,location.adminArea1,location.adminArea1Type,location.adminArea3,location.adminArea3Type,location.adminArea4,location.adminArea4Type,location.adminArea5,location.adminArea5Type,location.displayLatLng.lat,location.displayLatLng.lng,location.dragPoint,location.geocodeQuality,location.geocodeQualityCode,location.latLng.lat,location.latLng.lng,location.linkId,location.mapUrl,location.postalCode,location.sideOfStreet,location.street,location.type,location_type,neighborho,posted_dat,reason,submission_sets.support.length,submission_sets.support.url,submitter,submitter_name,updated_datetime,url,user_avata,user_name,user_token,visible
,,2014-10-28T17:37:52.035264+00:00,568,POINT (-73.9798899999999975 40.7141370000000009),,259317,US,Country,NY,State,New York County,County,New York City,City,40.714315,-73.980056,False,ADDRESS,L1AAA,40.714137,-73.97989,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.71413676737114,-73.97988975048065,0,0|&center=40.71413676737114,-73.97988975048065&zoom=15&rand=-1076167520",10002,N,550G Grand Street,s,suggestion,,,"I live here. There are NEVER any functioning bikes in the morning when I go to work. When I go home, if I was lucky enough to score a bike, there is NEVER any place to put a bike in this neighborhood. It is essentially a 2 fare zone.  Bus to Subway, and a bike solves that problem for lots of us. Thanks. I love the idea of 
Citibike, but in practice, I rarely get the chance to use it. I fully support the price rise, and would suggest even more to knock off some of the riffraff. More security would be good too. Peeps hang around the stations looking for bikes to borrow no cost.",6,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259317/support,,Keith Reichenbach,2014-10-28T17:37:52.422111+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259317,,,session:12c9bfc250ea1a32551a5ddfd1065cae,True
,,2014-10-28T17:37:42.790307+00:00,568,POINT (-73.9521400000000000 40.7652009999999976),,259316,US,Country,NY,State,New York County,County,New York City,City,40.765573,-73.952169,False,ADDRESS,L1AAA,40.765201,-73.95214,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.76520144280567,-73.95213961601257,0,0|&center=40.76520144280567,-73.95213961601257&zoom=15&rand=564832512",10021,N,541 East 71st Street,s,suggestion,,,Many persons are working at Hospital for Special Surgery and we need to park our bike here. Today I park the bike at 2nd avenue 58th street and walk 14 blocks to enter the hospital,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259316/support,,hanne Storm,2014-10-28T17:37:42.828599+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259316,,,session:9b6995cc53997ab3db07ea1a08250917,True
,,2014-10-28T17:36:55.990129+00:00,568,POINT (-73.9517960000000016 40.7233889999999974),,259312,US,Country,NY,State,Kings County,County,New York City,City,40.723513,-73.951878,False,ADDRESS,L1AAA,40.723389,-73.951796,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.72338850378556,-73.95179629325867,0,0|&center=40.72338850378556,-73.95179629325867&zoom=15&rand=2157765",11222,N,905 Lorimer Street,s,suggestion,,,"Really central location in Greenpoint, where Citibike is much needed!",1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259312/support,,Kiki,2014-10-28T17:36:56.053913+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259312,,,session:7b2b5314c7ee5fcb17e31020df3deaed,True
,,2014-10-28T17:34:14.717792+00:00,568,POINT (-73.9580430000000035 40.6668639999999968),,259280,US,Country,NY,State,Kings County,County,New York City,City,40.666294,-73.958363,False,ADDRESS,L1AAA,40.666864,-73.958043,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.66686394358768,-73.95804315805435,0,0|&center=40.66686394358768,-73.95804315805435&zoom=15&rand=-455737754",11225,N,1650 Bedford Avenue,s,suggestion,,,"There is a college campus here, and there is space to put a large dock in the street.",2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259280/support,,Haruka,2014-10-28T17:34:14.757419+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259280,,,session:b959f8b81fe6abe8b910576f1ac5abb1,True
,,2014-10-28T17:33:49.898419+00:00,568,POINT (-73.9552510000000041 40.6703159999999997),,259279,US,Country,NY,State,Kings County,County,New York City,City,40.670529,-73.955455,False,ADDRESS,L1AAA,40.670316,-73.955251,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.67031637688191,-73.95525097846985,0,0|&center=40.67031637688191,-73.95525097846985&zoom=15&rand=1067714648",11216,N,391 Eastern Parkway,s,suggestion,,,,4,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259279/support,,MR,2014-10-28T17:33:49.958073+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259279,,,session:d2e3b689dad62a7403f1de158c7c4913,True
,,2014-10-28T17:29:28.232335+00:00,568,POINT (-73.8854384421999981 40.7731339106000021),,259274,US,Country,NY,State,Queens County,County,New York City,City,40.772576,-73.885262,False,ADDRESS,L1AAA,40.772858,-73.885358,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.77285766130384,-73.88535797595978,0,0|&center=40.77285766130384,-73.88535797595978&zoom=15&rand=340743898",11371,N,Marine Terminal Road,s,suggestion,,,,,,,,2014-10-28T17:29:28.267793+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259274,,,session:0eb85f9e66a3b8a43b4ee266d08f6678,True
,,2014-10-28T17:29:06.455559+00:00,568,POINT (-73.9508253335999939 40.7792476632999978),,259273,US,Country,NY,State,New York County,County,New York City,City,40.778909,-73.95066,False,ADDRESS,L1AAA,40.779118,-73.950825,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.77911767574574,-73.95082533359528,0,0|&center=40.77911767574574,-73.95082533359528&zoom=15&rand=1622895800",10128,N,1696 2nd Avenue,s,suggestion,,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259273/support,,,2014-10-28T17:29:06.480567+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259273,,,session:0eb85f9e66a3b8a43b4ee266d08f6678,True
,,2014-10-28T17:28:56.386238+00:00,568,POINT (-73.9531479999999988 40.7759470000000022),,259272,US,Country,NY,State,New York County,County,New York City,City,40.776189,-73.953281,False,ADDRESS,L1AAA,40.775947,-73.953148,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.77594711918089,-73.95314812660217,0,0|&center=40.77594711918089,-73.95314812660217&zoom=15&rand=-488621488",10028,N,1603 2nd Avenue,s,suggestion,,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259272/support,,,2014-10-28T17:28:56.445863+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259272,,,session:0eb85f9e66a3b8a43b4ee266d08f6678,True
,,2014-10-28T17:28:40.800558+00:00,568,POINT (-73.9625790000000052 40.7790219999999977),,259269,US,Country,NY,State,New York County,County,New York City,City,40.778724,-73.962094,False,ADDRESS,L1AAA,40.779022,-73.962579,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.77902221597026,-73.96257877349852,0,0|&center=40.77902221597026,-73.96257877349852&zoom=15&rand=-1700611172",10028,N,1009 5th Avenue,s,suggestion,,,,3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259269/support,,,2014-10-28T17:28:40.829981+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259269,,,session:0eb85f9e66a3b8a43b4ee266d08f6678,True
,,2014-10-28T17:28:26.257942+00:00,568,POINT (-73.9374300000000062 40.7496909999999986),,259266,US,Country,NY,State,Queens County,County,New York City,City,40.74971,-73.937002,False,ADDRESS,L1AAA,40.749691,-73.93743,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.74969129192389,-73.9374303817749,0,0|&center=40.74969129192389,-73.9374303817749&zoom=15&rand=949908677",11101,N,Queens Plaza North,s,suggestion,,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259266/support,,,2014-10-28T17:28:26.285996+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259266,,,session:0eb85f9e66a3b8a43b4ee266d08f6678,True
,,2014-10-28T17:27:48.996391+00:00,568,POINT (-73.9015530000000069 40.7787009999999981),,259263,US,Country,NY,State,Queens County,County,New York City,City,40.7785,-73.901179,False,ADDRESS,L1AAA,40.778701,-73.901553,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.77870130763418,-73.9015531539917,0,0|&center=40.77870130763418,-73.9015531539917&zoom=15&rand=1099313843",11105,N,19-19 37th Street,s,suggestion,,,,,,,,2014-10-28T17:27:49.024523+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259263,,,session:0eb85f9e66a3b8a43b4ee266d08f6678,True
,,2014-10-28T17:27:06.344657+00:00,568,POINT (-73.9204037189000047 40.7627676816000033),,259254,US,Country,NY,State,Queens County,County,New York City,City,40.76268,-73.921169,False,ADDRESS,L1AAA,40.762605,-73.921026,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.76260515677626,-73.92102599143982,0,0|&center=40.76260515677626,-73.92102599143982&zoom=15&rand=-744231031",11106,N,31-15 34th Street,s,suggestion,,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259254/support,,,2014-10-28T17:27:06.379686+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259254,,,session:0eb85f9e66a3b8a43b4ee266d08f6678,True
,,2014-10-28T17:26:57.911821+00:00,568,POINT (-73.9255321026000018 40.7619875589000031),,259253,US,Country,NY,State,Queens County,County,New York City,City,40.762291,-73.922073,False,ADDRESS,L1AAA,40.762369,-73.922206,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.76236949512072,-73.92220616340637,0,0|&center=40.76236949512072,-73.92220616340637&zoom=15&rand=1669298819",11106,N,31-40 34th Street,s,suggestion,,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259253/support,,,2014-10-28T17:26:57.951299+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259253,,,session:0eb85f9e66a3b8a43b4ee266d08f6678,True
,,2014-10-28T17:26:27.266420+00:00,568,POINT (-73.9794229999999970 40.7504190000000008),,259250,US,Country,NY,State,New York County,County,New York City,City,40.750739,-73.979436,False,ADDRESS,L1AAA,40.750419,-73.979423,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.75041872857379,-73.97942304611206,0,0|&center=40.75041872857379,-73.97942304611206&zoom=15&rand=-1388639466",10016,N,90 Park Avenue,s,suggestion,,,"There is heavy traffic in the area, specially during rush hour. This station would give relief to the heavy traffic of bikes in Grand Central, and to some of the other midtown bike stations. ",2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259250/support,,Ramiro Gonzalez,2014-10-28T17:26:27.302143+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259250,,,session:62f1373d043e201a032fb61e349e4fef,True
,,2014-10-28T17:18:53.081499+00:00,568,POINT (-73.9835130000000021 40.6726519999999994),,259233,US,Country,NY,State,Kings County,County,New York City,City,40.672489,-73.983243,False,ADDRESS,L1AAA,40.672652,-73.983513,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.67265180494416,-73.98351341485977,0,0|&center=40.67265180494416,-73.98351341485977&zoom=15&rand=-16236851",11215,N,323 5th Avenue,s,suggestion,,,Lots of space for bike racks that won't disrupt parking or sidewalk access.,8,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259233/support,,Bryan,2014-10-28T17:18:53.122750+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/259233,,,session:3d58534ace97beb4849c6de2298def40,True
,,2014-10-20T15:53:49.014899+00:00,568,POINT (-73.9528799999999933 40.6664310000000029),,258010,US,Country,NY,State,Kings County,County,New York City,City,40.666094,-73.953014,False,ADDRESS,L1AAA,40.666431,-73.95288,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.66643059667177,-73.95287990570068,0,0|&center=40.66643059667177,-73.95287990570068&zoom=15&rand=1694893527",11225,N,240 Crown Street,s,suggestion,,,I will use it!,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/258010/support,,Frank,2014-10-20T15:53:49.086662+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/258010,,,session:6f54ce2a61c55afe8e250da9dc1d31cc,True
6324,0,2014-08-04T15:53:17.019564+00:00,568,POINT (-73.9759770000000003 40.7761050000000012),0,240292,,,,,,,,,,,,,,,,,,,,,,previous-suggestion,Upper West Side,5/8/2012 0:00:00,I want to cruise around Central Park,8,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240292/support,,,2014-08-04T15:53:17.022300+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240292,,Allison,,True
6323,1,2014-08-04T15:53:16.986609+00:00,568,POINT (-73.9549379999999985 40.7994589999999988),0,240291,,,,,,,,,,,,,,,,,,,,,,previous-suggestion,Upper West Side,5/6/2012 0:00:00,Live nearby and could cycle to work downtown.,4,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240291/support,,,2014-08-04T15:53:16.989283+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240291,,Steve,,True
6322,1,2014-08-04T15:53:16.913615+00:00,568,POINT (-73.9699159999999978 40.7845540000000000),0,240290,,,,,,,,,,,,,,,,,,,,,,previous-suggestion,Upper West Side,5/6/2012 0:00:00,Immediate entrance to and from the Central Park Loop for commuting,,,,,2014-08-04T15:53:16.916419+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240290,,,,True
6320,0,2014-08-04T15:53:16.848383+00:00,568,POINT (-73.9597229999999968 40.7604789999999966),0,240289,,,,,,,,,,,,,,,,,,,,,,previous-suggestion,Upper East Side,,Plenty of sidewalk space,,,,,2014-08-04T15:53:16.851074+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240289,,Tracy,,True
6321,1,2014-08-04T15:53:16.832695+00:00,568,POINT (-73.9538220000000024 40.5871670000000009),0,240288,,,,,,,,,,,,,,,,,,,,,,previous-suggestion,Brighton Beach,5/6/2012 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240288/support,,,2014-08-04T15:53:16.835408+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240288,,Veronika,,True
6319,0,2014-08-04T15:53:16.826858+00:00,568,POINT (-73.8147340000000014 40.5840790000000027),0,240287,,,,,,,,,,,,,,,,,,,,,,previous-suggestion,Rockaway Park,,Beach 95th Street is a central point and destination for the Rockaway beaches that stretch for 7 miles from Beach 17th Street to Beach 147th Street. At Beach 95th is Rockaway's 'Whalemania',2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240287/support,,,2014-08-04T15:53:16.829769+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240287,,pete stubben,,True
6317,1,2014-08-04T15:53:16.678042+00:00,568,POINT (-73.9791850000000011 40.6668170000000018),0,240286,,,,,,,,,,,,,,,,,,,,,,previous-suggestion,Park Slope,5/6/2012 0:00:00,Please we need a BIKE SHARE in Park Slope,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240286/support,,,2014-08-04T15:53:16.680897+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240286,,Franco,,True
6318,0,2014-08-04T15:53:16.654910+00:00,568,POINT (-73.9440809999999971 40.6847660000000033),0,240285,,,,,,,,,,,,,,,,,,,,,,previous-suggestion,Bedford-Stuyvesant,,It's right next to the YMCA,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240285/support,,,2014-08-04T15:53:16.658658+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240285,,megan,,True
6316,1,2014-08-04T15:53:16.625462+00:00,568,POINT (-73.9546380000000028 40.7230380000000025),0,240284,,,,,,,,,,,,,,,,,,,,,,previous-suggestion,Williamsburg,5/6/2012 0:00:00,Park Slope,,,,,2014-08-04T15:53:16.629891+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240284,,Franco,,True
6315,0,2014-08-04T15:53:16.498790+00:00,568,POINT (-73.8927539999999965 40.6974039999999988),0,240283,,,,,,,,,,,,,,,,,,,,,,previous-suggestion,Glendale,5/5/2012 0:00:00,It good for the Glendale neighborhood runs and also for a ride through the cemetaries into the park,,,,,2014-08-04T15:53:16.501118+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240283,,Mary,,True
6314,1,2014-08-04T15:53:16.490188+00:00,568,POINT (-73.9577170000000024 40.7325179999999989),0,240282,,,,,,,,,,,,,,,,,,,,,,previous-suggestion,Greenpoint,5/5/2012 0:00:00,,,,,,2014-08-04T15:53:16.492977+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240282,,,,True
6309,1,2014-08-04T15:53:16.449653+00:00,568,POINT (-73.9576090000000050 40.7314050000000023),0,240281,,,,,,,,,,,,,,,,,,,,,,previous-suggestion,Greenpoint,5/5/2012 0:00:00,,,,,,2014-08-04T15:53:16.472851+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/240281,,,,True
