FID,ck_rating_,created_datetime,dataset,geometry,hide,id,location_type,neighborho,posted_dat,reason,submission_sets.comments.length,submission_sets.comments.url,submission_sets.support.length,submission_sets.support.url,submitter,updated_datetime,url,user_avata,user_name,visible
2676,1,2014-08-04T15:49:27.998253+00:00,568,POINT (-73.9915879999999930 40.6846159999999983),0,236694,previous-suggestion,Boerum Hill,9/16/2011 0:00:00,I live here,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236694/support,,2014-08-04T15:49:28.000749+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236694,,,True
2675,1,2014-08-04T15:49:27.967869+00:00,568,POINT (-73.9918449999999979 40.6846159999999983),0,236693,previous-suggestion,Boerum Hill,9/16/2011 0:00:00,,,,3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236693/support,,2014-08-04T15:49:27.970339+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236693,,,True
2674,0,2014-08-04T15:49:27.911226+00:00,568,POINT (-73.9692079999999947 40.7945369999999983),0,236692,previous-suggestion,Upper West Side,,UWS near 96 subways 1,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236692/support,,2014-08-04T15:49:27.915062+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236692,,margot,True
2673,0,2014-08-04T15:49:27.842231+00:00,568,POINT (-73.9731340000000017 40.6651689999999988),0,236691,previous-suggestion,Park Slope,,The park is a destination. People will want to bike there,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236691/support,,2014-08-04T15:49:27.844721+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236691,,Bryce,True
2672,5,2014-08-04T15:49:27.814410+00:00,568,POINT (-73.9412800000000061 40.5780820000000020),0,236690,previous-suggestion,Manhattan Beach,9/16/2011 0:00:00,,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236690/support,,2014-08-04T15:49:27.817011+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236690,,,True
2671,2,2014-08-04T15:49:27.772375+00:00,568,POINT (-73.9731450000000024 40.5756050000000030),0,236689,previous-suggestion,Brighton Beach,9/16/2011 0:00:00,,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236689/support,,2014-08-04T15:49:27.774993+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236689,,,True
2670,3,2014-08-04T15:49:27.755719+00:00,568,POINT (-73.9422569999999979 40.8286909999999992),0,236688,previous-suggestion,Hamilton Heights,9/16/2011 0:00:00,,,,,,,2014-08-04T15:49:27.758845+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236688,,Sean,True
2669,3,2014-08-04T15:49:27.673932+00:00,568,POINT (-73.9720290000000062 40.5758009999999985),0,236687,previous-suggestion,Brighton Beach,9/16/2011 0:00:00,,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236687/support,,2014-08-04T15:49:27.676427+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236687,,,True
2667,1,2014-08-04T15:49:27.581411+00:00,568,POINT (-73.9949029999999937 40.5728179999999981),0,236686,previous-suggestion,Coney Island,9/16/2011 0:00:00,,,,,,,2014-08-04T15:49:27.592402+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236686,,,True
2668,10,2014-08-04T15:49:27.576694+00:00,568,POINT (-73.9858480000000043 40.5749690000000029),0,236685,previous-suggestion,Coney Island,9/16/2011 0:00:00,,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236685/support,,2014-08-04T15:49:27.580524+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236685,,,True
2666,6,2014-08-04T15:49:27.575975+00:00,568,POINT (-74.0025420000000054 40.5731759999999966),0,236684,previous-suggestion,Sea Gate,9/16/2011 0:00:00,,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236684/support,,2014-08-04T15:49:27.578584+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236684,,,True
2665,2,2014-08-04T15:49:27.456995+00:00,568,POINT (-73.9712999999999994 40.5758170000000007),0,236683,previous-suggestion,Brighton Beach,9/16/2011 0:00:00,,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236683/support,,2014-08-04T15:49:27.459980+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236683,,,True
2664,18,2014-08-04T15:49:27.386068+00:00,568,POINT (-73.9690039999999982 40.5752629999999996),0,236682,previous-suggestion,Brighton Beach,9/16/2011 0:00:00,,,,8,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236682/support,,2014-08-04T15:49:27.389079+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236682,,,True
2663,2,2014-08-04T15:49:27.361780+00:00,568,POINT (-73.9732309999999984 40.5746919999999989),0,236681,previous-suggestion,Brighton Beach,9/16/2011 0:00:00,,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236681/support,,2014-08-04T15:49:27.364371+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236681,,,True
2662,0,2014-08-04T15:49:27.271280+00:00,568,POINT (-73.9441659999999956 40.7144830000000013),0,236680,previous-suggestion,Williamsburg,,There's a subway,,,4,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236680/support,,2014-08-04T15:49:27.274665+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236680,,,True
2661,7,2014-08-04T15:49:27.270581+00:00,568,POINT (-74.0158349999999956 40.6738429999999980),0,236679,previous-suggestion,Red Hook,9/16/2011 0:00:00,I want a bike share station in Red Hook!,,,,,,2014-08-04T15:49:27.273161+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236679,,Lisa,True
2659,4,2014-08-04T15:49:27.228121+00:00,568,POINT (-73.9559679999999986 40.7672239999999988),0,236678,previous-suggestion,Upper East Side,9/16/2011 0:00:00,I live near here. There is a broad sidewalk.,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236678/support,,2014-08-04T15:49:27.230488+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236678,,,True
2660,4,2014-08-04T15:49:27.208981+00:00,568,POINT (-73.9811590000000052 40.7885490000000033),0,236677,previous-suggestion,Upper West Side,9/16/2011 0:00:00,,,,,,,2014-08-04T15:49:27.211566+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236677,,Rod,True
2658,5,2014-08-04T15:49:27.061155+00:00,568,POINT (-73.9829830000000044 40.6768700000000010),0,236676,previous-suggestion,Park Slope,9/16/2011 0:00:00,,,,11,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236676/support,,2014-08-04T15:49:27.063627+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236676,,,True
2656,0,2014-08-04T15:49:27.011983+00:00,568,POINT (-73.8830980000000039 40.8791340000000005),0,236675,previous-suggestion,Norwood,,The bronx needs a form of transportation that promotes healthy living (look at the stats,,,,,,2014-08-04T15:49:27.015923+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236675,,Joy,True
2655,0,2014-08-04T15:49:27.007140+00:00,568,POINT (-73.9478569999999991 40.8165770000000023),0,236674,previous-suggestion,Upper West Side,,Close to home,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236674/support,,2014-08-04T15:49:27.009888+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236674,,Kevin,True
2657,0,2014-08-04T15:49:26.998799+00:00,568,POINT (-73.9475779999999929 40.6712720000000019),0,236673,previous-suggestion,Crown Heights,,Two bus lines meet at this point. So people are already congregating to go up to A/C,,,3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236673/support,,2014-08-04T15:49:27.003399+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236673,,Rachel Hughes,True
2654,6,2014-08-04T15:49:26.906056+00:00,568,POINT (-73.9867710000000045 40.6842410000000001),0,236672,previous-suggestion,Boerum Hill,9/16/2011 0:00:00,It is a prime location in Boerum Hill on a corner with an extra wide sidewalk. Wyckoff St is also especially wide at this intersection.,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236672/support,,2014-08-04T15:49:26.908679+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236672,,Paul,True
2653,3,2014-08-04T15:49:26.830314+00:00,568,POINT (-73.9348540000000014 40.8565460000000016),0,236671,previous-suggestion,Washington Heights,9/16/2011 0:00:00,Nice nabe,,,,,,2014-08-04T15:49:26.832755+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236671,,Culo,True
2652,2,2014-08-04T15:49:26.791069+00:00,568,POINT (-73.9656669999999963 40.6779439999999965),0,236669,previous-suggestion,Prospect Heights,9/16/2011 0:00:00,Want to be able to quickly do errands and visit friends in the neighborhood,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236669/support,,2014-08-04T15:49:26.793578+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236669,,Erik Chuang,True
2651,4,2014-08-04T15:49:26.776220+00:00,568,POINT (-73.8910800000000023 40.7188439999999972),0,236670,previous-suggestion,Maspeth,9/16/2011 0:00:00,It is near my home as well as being a busy intersection with bus stops going into the city. More may be encouraged to ride if we have a station in this area,,,,,,2014-08-04T15:49:26.780344+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236670,,Stan,True
2650,3,2014-08-04T15:49:26.675738+00:00,568,POINT (-73.9572770000000048 40.7741789999999966),0,236668,previous-suggestion,Upper East Side,9/16/2011 0:00:00,I want to comute to work by bike,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236668/support,,2014-08-04T15:49:26.685183+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236668,,Alissa Vizirova,True
2649,3,2014-08-04T15:49:26.663263+00:00,568,POINT (-73.9471920000000011 40.7479140000000015),0,236667,previous-suggestion,Hunters Point,9/16/2011 0:00:00,Near the grocery store for us LIC residents.,,,9,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236667/support,,2014-08-04T15:49:26.665547+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236667,,,True
2648,15,2014-08-04T15:49:26.571053+00:00,568,POINT (-73.9403470000000027 40.7511330000000029),0,236666,previous-suggestion,Long Island City,9/16/2011 0:00:00,Because it would be easy and convenient!,,,7,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236666/support,,2014-08-04T15:49:26.573868+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236666,,,True
2647,8,2014-08-04T15:49:26.563537+00:00,568,POINT (-73.7952439999999967 40.7221899999999977),0,236665,previous-suggestion,Hillcrest,9/16/2011 0:00:00,,,,,,,2014-08-04T15:49:26.566166+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236665,,,True
2645,0,2014-08-04T15:49:26.512428+00:00,568,POINT (-73.8696659999999952 40.8541600000000003),0,236664,previous-suggestion,Van Nest,,It is clearly visible from all directions and it has the advantage that the area is surrounded by parkways,,,,,,2014-08-04T15:49:26.515204+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236664,,Erik,True
2646,0,2014-08-04T15:49:26.502951+00:00,568,POINT (-73.9477069999999941 40.7055539999999993),0,236663,previous-suggestion,Williamsburg,,The park is a great way to place the bikes since there is ample room. Also very convenient to where I live,,,,,,2014-08-04T15:49:26.505291+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236663,,Eunice,True
2644,0,2014-08-04T15:49:26.425952+00:00,568,POINT (-73.9398319999999956 40.7159959999999970),0,236662,previous-suggestion,Williamsburg,,I want a bike share station here because it is near a large housing project as well as the creative hub of 3rd Ward,,,,,,2014-08-04T15:49:26.428273+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236662,,Zahid Zaman,True
2643,6,2014-08-04T15:49:26.415608+00:00,568,POINT (-73.9497559999999936 40.7851950000000016),0,236661,previous-suggestion,Upper East Side,9/16/2011 0:00:00,it's a nice alternative to the subway and the crosstown bus. It's very convenient!,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236661/support,,2014-08-04T15:49:26.418038+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236661,,,True
2642,3,2014-08-04T15:49:26.308924+00:00,568,POINT (-73.9683710000000048 40.6102950000000007),0,236660,previous-suggestion,Gravesend,9/16/2011 0:00:00,There's plenty of space in this park for a bike station. It would also be a great way for us Midwooders to cycle to work using this program,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236660/support,,2014-08-04T15:49:26.311701+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236660,,Joe C,True
2640,2,2014-08-04T15:49:26.304196+00:00,568,POINT (-73.9093620000000016 40.6641100000000009),0,236659,previous-suggestion,Brownsville,9/16/2011 0:00:00,it's really difficult to get around quickly.,,,,,,2014-08-04T15:49:26.307659+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236659,,Christopher Dawkins,True
2641,4,2014-08-04T15:49:26.254621+00:00,568,POINT (-73.9621910000000042 40.6693509999999989),0,236658,previous-suggestion,Crown Heights,9/16/2011 0:00:00,I live here!,,,9,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236658/support,,2014-08-04T15:49:26.256988+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236658,,,True
2639,2,2014-08-04T15:49:26.224131+00:00,568,POINT (-73.9882400000000047 40.6626830000000012),0,236657,previous-suggestion,Park Slope,9/16/2011 0:00:00,,,,,,,2014-08-04T15:49:26.232580+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236657,,,True
2637,15,2014-08-04T15:49:26.110371+00:00,568,POINT (-73.9576420000000070 40.7174759999999978),0,236656,previous-suggestion,Williamsburg,9/16/2011 0:00:00,,,,,,,2014-08-04T15:49:26.113175+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236656,,,True
2638,0,2014-08-04T15:49:26.098797+00:00,568,POINT (-73.9619979999999941 40.7795249999999996),0,236655,previous-suggestion,Upper East Side,,It's near the park,,,,,,2014-08-04T15:49:26.103252+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236655,,Matthew Braley,True
2636,12,2014-08-04T15:49:26.082315+00:00,568,POINT (-73.9582209999999947 40.8007589999999993),0,236654,previous-suggestion,Upper West Side,9/16/2011 0:00:00,,,,13,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236654/support,,2014-08-04T15:49:26.085881+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236654,,Mike,True
2635,4,2014-08-04T15:49:25.959396+00:00,568,POINT (-73.9545520000000067 40.7697259999999986),0,236653,previous-suggestion,Upper East Side,9/16/2011 0:00:00,Stations on 1st Ave would be fantastic since the Second Ave Subway is not yet finished. Bicycle sharing would also provide a convenient way to get across to the west side quickly from the east side.,,,3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236653/support,,2014-08-04T15:49:25.965376+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236653,http://graph.facebook.com/627746/picture?type=large,Jeremy Feinstein,True
2632,7,2014-08-04T15:49:25.835694+00:00,568,POINT (-73.9430080000000061 40.7475400000000008),0,236651,previous-suggestion,Hunters Point,9/16/2011 0:00:00,This spot is close to the Citi tower and close to lots of subways. LIC is a very up and coming neighborhood that is very bike-able.,,,4,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236651/support,,2014-08-04T15:49:25.838328+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236651,,Kim,True
2634,2,2014-08-04T15:49:25.835322+00:00,568,POINT (-73.8562759999999940 40.8560590000000019),0,236652,previous-suggestion,Pelham Parkway,9/16/2011 0:00:00,It is walking distance to and from my house.,,,,,,2014-08-04T15:49:25.837679+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236652,,Joe,True
2633,3,2014-08-04T15:49:25.822367+00:00,568,POINT (-73.9331690000000066 40.7060260000000014),0,236650,previous-suggestion,Bushwick,9/16/2011 0:00:00,it is growing neighborhood.,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236650/support,,2014-08-04T15:49:25.833666+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236650,,djeremy,True
2631,5,2014-08-04T15:49:25.719550+00:00,568,POINT (-73.9375789999999995 40.8233609999999985),0,236649,previous-suggestion,Manhattan,9/16/2011 0:00:00,,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236649/support,,2014-08-04T15:49:25.730043+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236649,,Rachel,True
2630,7,2014-08-04T15:49:25.659965+00:00,568,POINT (-73.9566329999999965 40.7457199999999986),0,236648,previous-suggestion,Hunters Point,9/16/2011 0:00:00,Convenient to the waterfront.,,,,,,2014-08-04T15:49:25.662921+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236648,,Ed Scott,True
